sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_fr_diff,in_tz_diff,in_empf_plz,in_empf_ort,in_anz_sdg,in_av_diff,in_exp_diff,in_exp_dl,in_snk_dl,in_snk_diff,in_snk_tarif,in_maut_diff,in_dgr_diff,in_serv_art,in_sachkonto,in_zz_diff,in_referenz3,in_lg_diff
Soll-Ist-Vergleich best. Beleg,4,dachser,correct,,,,true,STAT=30 | TARIF=314.84 | FR=-0.05 | TZ=-0.01 | VKG=2703 | VKG_DL=2703,30,314.84,-0.05,-0.01,73312,GEISLINGEN AN DER STEIGE,1,,,,,,,,,,,,,
Soll-Ist-Vergleich best. Beleg,5,dachser,correct,Gebühr für vergeblichen Abholversuch,Gebühr für vergeblichen Abholversuch,Gebühr für vergeblichen Abholversuch,true,STAT=10 | AV=48 | VKG_DL=160,10,,,,45128,ESSEN,1,48,,,,,,,,,,,,
Soll-Ist-Vergleich best. Beleg,6,dachser,correct,Produktzuschlag,Produktzuschlag,Produktzuschlag,true,STAT=10 | TARIF=660.52 | FR=-0.03 | EXP=43.6 | EXP_DL=43.6 | VKG=4115 | VKG_DL=4115,10,660.52,-0.03,,73312,GEISLINGEN AN DER STEIGE,1,,43.6,43.6,,,,,,,,,,
Soll-Ist-Vergleich best. Beleg,7,dachser,correct,Gebühr für vergeblichen Abholversuch,Gebühr für vergeblichen Abholversuch,Gebühr für vergeblichen Abholversuch,true,STAT=10 | AV=48 | VKG=297 | VKG_DL=297,10,,,,73312,GEISLINGEN AN DER STEIGE,1,48,,,,,,,,,,,,
Soll-Ist-Vergleich best. Beleg,8,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=495.29 | SNK_DL=17.65 | SNK_DIFF=0.01 | MAUT=57.43 | TZ=0.01 | VKG=4000 | VKG_DL=1209,10,495.29,,0.01,73312,GEISLINGEN AN DER STEIGE,1,,,,17.65,0.01,17.64,57.43,,,,,,
Soll-Ist-Vergleich best. Beleg,9,dachser,correct,Gebühr für vergeblichen Abholversuch,Gebühr für vergeblichen Abholversuch,Gebühr für vergeblichen Abholversuch,true,STAT=10 | AV=48 | VKG=108 | VKG_DL=108,10,,,,73312,GEISLINGEN AN DER STEIGE,1,48,,,,,,,,,,,,
Soll-Ist-Vergleich best. Beleg,10,dachser,correct,Produktzuschlag,Produktzuschlag,Produktzuschlag,true,STAT=10 | TARIF=767.03 | FR=-0.04 | EXP=49.1 | EXP_DL=49.1 | VKG=6030 | VKG_DL=6030,10,767.03,-0.04,,73312,GEISLINGEN AN DER STEIGE,1,,49.1,49.1,,,,,,,,,,
Soll-Ist-Vergleich best. Beleg,11,dachser,correct,Gefahrgut-Zuschlag // Mautdifferenz,Gefahrgut-Zuschlag // Mautdifferenz,Gefahrgut-Zuschlag // Mautdifferenz,true,STAT=10 | TARIF=442.3 | FR=-0.01 | SNK_DL=16.29 | DGR=55 | MAUT=-9.42 | VKG_DL=452 | SERV=DA01 | SACH=612100,10,442.3,-0.01,,0694,Oslo,1,,,,16.29,,16.29,-9.42,55,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,12,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=127.82 | FR=0.04 | SNK_DL=4.86 | SNK_DIFF=0.01 | MAUT=-3.99 | VKG_DL=103 | SERV=DA01 | SACH=612100,10,127.82,0.04,,80110,Domart-sur-la-Luce,1,,,,4.86,0.01,4.85,-3.99,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,13,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=136.82 | FR=0.05 | SNK_DL=5.31 | SNK_DIFF=0.01 | MAUT=-1.98 | TZ=0.01 | VKG_DL=104 | SERV=DA01 | SACH=612100,10,136.82,0.05,0.01,74000,Annecy,1,,,,5.31,0.01,5.3,-1.98,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,14,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=123.3 | SNK_DL=4.76 | MAUT=-1.48 | VKG_DL=78 | SERV=DA01 | SACH=612100,10,123.3,,,0694,Oslo,1,,,,4.76,,4.76,-1.48,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,15,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=108.6 | FR=0.04 | SNK_DL=4.28 | SNK_DIFF=0.01 | MAUT=-0.55 | VKG_DL=96 | SERV=DA01 | SACH=612110,10,108.6,0.04,,25220,THISE,1,,,,4.28,0.01,4.27,-0.55,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,16,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=139.84 | FR=0.05 | SNK_DL=5.31 | SNK_DIFF=0.01 | MAUT=-5 | TZ=0.01 | VKG_DL=112 | SERV=DA01 | SACH=612110,10,139.84,0.05,0.01,13014,MARSEILLE,1,,,,5.31,0.01,5.3,-5,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,17,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=127.82 | FR=0.04 | SNK_DL=4.86 | SNK_DIFF=0.01 | MAUT=-3.99 | VKG_DL=105 | SERV=DA01 | SACH=612110,10,127.82,0.04,,42300,Roanne,1,,,,4.86,0.01,4.85,-3.99,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,18,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=90.61 | FR=-0.03 | SNK_DL=3.56 | MAUT=-1.37 | TZ=-0.01 | VKG_DL=46 | SERV=DA01 | SACH=612110,10,90.61,-0.03,-0.01,76300,Sotteville-lès-Rouen,1,,,,3.56,,3.56,-1.37,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,19,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=126.8 | FR=0.04 | SNK_DL=4.86 | SNK_DIFF=0.01 | MAUT=-2.97 | VKG_DL=106 | SERV=DA01 | SACH=612110,10,126.8,0.04,,69300,Caluire-et-Cuire,1,,,,4.86,0.01,4.85,-2.97,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,20,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=105.34 | SNK_DL=4.07 | MAUT=-2.38 | VKG_DL=86 | SERV=DA01 | SACH=612110,10,105.34,,,77184,EMERAINVILLE,1,,,,4.07,,4.07,-2.38,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,21,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=121.91 | FR=-0.04 | SNK_DL=4.61 | MAUT=-3.99 | VKG_DL=109 | SERV=DA01 | SACH=612110,10,121.91,-0.04,,95100,ARGENTEUIL,1,,,,4.61,,4.61,-3.99,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,22,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=105.34 | SNK_DL=4.07 | MAUT=-2.38 | VKG_DL=81 | SERV=DA01 | SACH=612110,10,105.34,,,77184,Emerainville,1,,,,4.07,,4.07,-2.38,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,23,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=96.57 | FR=-0.04 | SNK_DL=3.81 | MAUT=-0.71 | VKG_DL=31 | SERV=DA01 | SACH=612100,10,96.57,-0.04,,0666,Oslo,1,,,,3.81,,3.81,-0.71,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,24,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=123.3 | SNK_DL=4.76 | MAUT=-1.48 | VKG_DL=57 | SERV=DA01 | SACH=612100,10,123.3,,,0694,Oslo,1,,,,4.76,,4.76,-1.48,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,25,dachser,correct,Gefahrgut-Zuschlag // Mautdifferenz,Gefahrgut-Zuschlag // Mautdifferenz,Gefahrgut-Zuschlag // Mautdifferenz,true,STAT=10 | TARIF=123.3 | SNK_DL=4.76 | DGR=55 | MAUT=-1.48 | VKG_DL=99 | SERV=DA01 | SACH=612100,10,123.3,,,0694,Oslo,1,,,,4.76,,4.76,-1.48,55,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,26,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=172.43 | FR=0.05 | SNK_DL=6.35 | MAUT=-6.23 | TZ=0.01 | VKG_DL=199 | SERV=DA01 | SACH=612100,10,172.43,0.05,0.01,62161,Alytus,1,,,,6.35,,6.35,-6.23,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,27,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=101.75 | SNK_DL=4.07 | MAUT=0.62 | VKG_DL=98 | SERV=DA01 | SACH=612110,10,101.75,,,67460,SOUFFELWEYERSHEIM,1,,,,4.07,,4.07,0.62,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,28,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=122.02 | FR=0.05 | SNK_DL=4.73 | SNK_DIFF=0.01 | MAUT=-2.96 | TZ=0.01 | VKG_DL=78 | SERV=DA01 | SACH=612110,10,122.02,0.05,0.01,37170,Chambray les Tours,1,,,,4.73,0.01,4.72,-2.96,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,29,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=122.63 | FR=0.05 | SNK_DL=4.73 | SNK_DIFF=0.01 | MAUT=-3.57 | TZ=0.01 | VKG_DL=86 | SERV=DA01 | SACH=612110,10,122.63,0.05,0.01,34070,MONTPELLIER,1,,,,4.73,0.01,4.72,-3.57,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,30,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=105.34 | SNK_DL=4.07 | MAUT=-2.38 | VKG_DL=65 | SERV=DA01 | SACH=612110,10,105.34,,,91310,Linas,1,,,,4.07,,4.07,-2.38,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,31,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=105.34 | SNK_DL=4.07 | MAUT=-2.38 | VKG_DL=95 | SERV=DA01 | SACH=612110,10,105.34,,,77176,Savigny-le-Temple,1,,,,4.07,,4.07,-2.38,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,32,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=121.91 | FR=-0.04 | SNK_DL=4.61 | MAUT=-3.99 | VKG_DL=115 | SERV=DA01 | SACH=612110,10,121.91,-0.04,,77184,EMERAINVILLE,1,,,,4.61,,4.61,-3.99,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,33,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=162.35 | FR=-0.03 | SNK_DL=6.16 | MAUT=-2.46 | TZ=-0.01 | VKG_DL=127 | SERV=DA01 | SACH=612100,10,162.35,-0.03,-0.01,0694,Oslo,1,,,,6.16,,6.16,-2.46,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,34,dachser,correct,Gefahrgut-Zuschlag // Mautdifferenz,Gefahrgut-Zuschlag // Mautdifferenz,Gefahrgut-Zuschlag // Mautdifferenz,true,STAT=10 | TARIF=87.32 | FR=-0.01 | SNK_DL=3.51 | DGR=25 | MAUT=0.51 | VKG_DL=49 | SERV=DA01 | SACH=612100,10,87.32,-0.01,,2615-134,Alverca do Ribatejo,1,,,,3.51,,3.51,0.51,25,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,35,dachser,correct,Differenz Laderaumkostenentwicklung // Mautdifferenz // hätte gebündelt werden können?,Differenz Laderaumkostenentwicklung // Mautdifferenz // hätte gebündelt werden können?,Differenz Laderaumkostenentwicklung // Mautdifferenz // hätte gebündelt werden können?,true,STAT=10 | TARIF=139.83 | FR=65.75 | SNK_DL=8.6 | SNK_DIFF=3.3 | MAUT=-4.46 | TZ=11.51 | VKG_DL=105 | SERV=DA01 | SACH=612100,10,139.83,65.75,11.51,26000,VALENCE,2,,,,8.6,3.3,5.3,-4.46,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,36,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=401.49 | FR=0.04 | SNK_DL=13.97 | SNK_DIFF=0.01 | MAUT=-29.43 | TZ=0.01 | VKG_DL=947 | SERV=DA01 | SACH=612110,10,401.49,0.04,0.01,75012,Paris,1,,,,13.97,0.01,13.96,-29.43,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,37,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=150.98 | SNK_DL=6.01 | MAUT=1.37 | VKG_DL=195 | SERV=DA01 | SACH=612110,10,150.98,,,67460,SOUFFELWEYERSHEIM,1,,,,6.01,,6.01,1.37,,DA01,612110,,,
