sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_existing_anmerkung,in_snk_diff,in_fr_diff,in_mt_diff,in_tz_diff,in_referenz,in_vkg,in_vkg_dl,in_empf_plz,in_empf_ort,in_kostenstelle,in_sachkonto
Soll-Ist-Vergleich best. Beleg,4,wackler,wrong,hätte nach Amazon Tarif abrechnen müssen // SNK Differenz,"Differenz aufgrund abweichender Gewichte // Portalavisierung, ok?",Differenz aufgrund abweichender Gewichte // SNK Differenz,false,"STAT=10 | TARIF=223.13 | SNK=25 | FR=22.77 | TZ=-0.14 | REF=2542943859 | VKG=434,336 | VKG_DL=494,6 | DEST=752 01 Kojetin | KOST=211FO012 | SACH=612100",10,223.13,hätte nach Amazon Tarif abrechnen müssen // SNK Differenz,25,22.77,,-0.14,2542943859,"434,336","494,6",752 01,Kojetin,211FO012,612100
Soll-Ist-Vergleich best. Beleg,5,wackler,correct,,,,true,"STAT=30 | TARIF=203.98 | REF=2543063587 | VKG=351,992 | VKG_DL=360,5 | DEST=8042 Graz | KOST=211FO012 | SACH=612100",30,203.98,,,,,,2543063587,"351,992","360,5",8042,Graz,211FO012,612100
Soll-Ist-Vergleich best. Beleg,6,wackler,correct,,,,true,"STAT=30 | TARIF=119.17 | REF=2543063578 | VKG=124,047 | VKG_DL=122 | DEST=2431 Enzersdorf a. d. Fischa | KOST=211FO012 | SACH=612100",30,119.17,,,,,,2543063578,"124,047",122,2431,Enzersdorf a. d. Fischa,211FO012,612100
Soll-Ist-Vergleich best. Beleg,7,wackler,wrong,Differenz aufgrund abweichender Gewichte,Pauschalfracht,,false,"STAT=10 | FR=3980 | REF=2543011467 | VKG=4443,5 | VKG_DL=4443,5 | DEST=41400 GEBZE KOCAELI | KOST=211FG098 | SACH=612110",10,,Differenz aufgrund abweichender Gewichte,,3980,,,2543011467,"4443,5","4443,5",41400,GEBZE KOCAELI,211FG098,612110
Soll-Ist-Vergleich best. Beleg,8,wackler,correct,,,,true,"STAT=30 | TARIF=110.34 | REF=2543088215 | VKG=192,88 | VKG_DL=201,5 | DEST=6422 RA Heerlen | KOST=211FO012 | SACH=612100",30,110.34,,,,,,2543088215,"192,88","201,5",6422 RA,Heerlen,211FO012,612100
Soll-Ist-Vergleich best. Beleg,9,wackler,correct,,,,true,"STAT=30 | TARIF=206.43 | REF=2543088181 | VKG=337,594 | VKG_DL=335 | DEST=1080 Wien | KOST=211FO012 | SACH=612100",30,206.43,,,,,,2543088181,"337,594",335,1080,Wien,211FO012,612100
Soll-Ist-Vergleich best. Beleg,10,wackler,correct,,,,true,"STAT=30 | TARIF=62.97 | REF=2543071843 | VKG=28,234 | VKG_DL=30,5 | DEST=6422 RA Heerlen | KOST=211FO012 | SACH=612100",30,62.97,,,,,,2543071843,"28,234","30,5",6422 RA,Heerlen,211FO012,612100
Soll-Ist-Vergleich best. Beleg,11,wackler,correct,,,,true,"STAT=30 | TARIF=514.04 | REF=2543071426 | VKG=559,88 | VKG_DL=526 | DEST=1151 Lozen | KOST=211FG098 | SACH=612110",30,514.04,,,,,,2543071426,"559,88",526,1151,Lozen,211FG098,612110
Soll-Ist-Vergleich best. Beleg,12,wackler,correct,,,,true,"STAT=30 | TARIF=136.49 | REF=2543064972 | VKG=170,599 | VKG_DL=175 | DEST=4020 Linz | KOST=211FO012 | SACH=612100",30,136.49,,,,,,2543064972,"170,599",175,4020,Linz,211FO012,612100
Soll-Ist-Vergleich best. Beleg,13,wackler,wrong,"Portalavisierung, ok?",Differenz avis,SNK Differenz,false,"STAT=10 | TARIF=119.17 | SNK=-9 | REF=2543071877 | VKG=137,5 | VKG_DL=141 | DEST=4600 Wels | KOST=211FO012 | SACH=612100",10,119.17,"Portalavisierung, ok?",-9,,,,2543071877,"137,5",141,4600,Wels,211FO012,612100
