sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_existing_anmerkung,in_tz_diff,in_referenz,in_vkg,in_vkg_dl,in_empf_plz,in_empf_ort,in_kostenstelle,in_sachkonto,in_snk_diff,in_fr_diff,in_mt_diff
Soll-Ist-Vergleich best. Beleg,4,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=40.04 | TZ=-1.32 | REF=2542807518 | VKG=214 | VKG_DL=214 | DEST=89343 Jettingen-Scheppach | KOST=211FO998 | SACH=612100,10,40.04,DifferenzEnergiezuschlag,-1.32,2542807518,214,214,89343,Jettingen-Scheppach,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,5,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=40.4 | TZ=-1.34 | REF=2542807381 | VKG=143 | VKG_DL=143 | DEST=85055 Ingolstadt | KOST=211FO998 | SACH=612100,10,40.4,DifferenzEnergiezuschlag,-1.34,2542807381,143,143,85055,Ingolstadt,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,6,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=63.85 | TZ=-2.12 | REF=2542807407 | VKG=221 | VKG_DL=221 | DEST=79664 Wehr | KOST=211FO998 | SACH=612100,10,63.85,DifferenzEnergiezuschlag,-2.12,2542807407,221,221,79664,Wehr,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,7,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=35.85 | TZ=-1.18 | REF=2542806124 | VKG=118 | VKG_DL=118 | DEST=72555 Metzingen | KOST=211FO998 | SACH=612100,10,35.85,DifferenzEnergiezuschlag,-1.18,2542806124,118,118,72555,Metzingen,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,8,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=55.44 | TZ=-1.84 | REF=2542807533 | VKG=185 | VKG_DL=185 | DEST=56410 Montabaur | KOST=211FO998 | SACH=612100,10,55.44,DifferenzEnergiezuschlag,-1.84,2542807533,185,185,56410,Montabaur,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,9,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=116.66 | TZ=-3.86 | REF=2542807443 | VKG=433 | VKG_DL=433 | DEST=24539 Neumünster | KOST=211FO998 | SACH=612100,10,116.66,DifferenzEnergiezuschlag,-3.86,2542807443,433,433,24539,Neumünster,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,10,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,"STAT=10 | TARIF=101.13 | TZ=-3.34 | REF=2542794532,2542806174 | VKG=1032 | VKG_DL=1099 | DEST=73312 Geislingen/Steige | KOST=211FO998 | SACH=612100",10,101.13,DifferenzEnergiezuschlag,-3.34,"2542794532,2542806174",1032,1099,73312,Geislingen/Steige,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,11,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,"STAT=10 | TARIF=145.45 | TZ=-4.82 | REF=2542826542,2542826537,2542826534,2542826598,2542826591 | VKG=648 | VKG_DL=648 | DEST=42719 SOLINGEN | KOST=211FO011 | SACH=612100",10,145.45,DifferenzEnergiezuschlag,-4.82,"2542826542,2542826537,2542826534,2542826598,2542826591",648,648,42719,SOLINGEN,211FO011,612100,,,
Soll-Ist-Vergleich best. Beleg,12,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=38.74 | TZ=-1.28 | REF=2542807425 | VKG=73 | VKG_DL=73 | DEST=56218 Mülheim-Kärlich | KOST=211FO998 | SACH=612100,10,38.74,DifferenzEnergiezuschlag,-1.28,2542807425,73,73,56218,Mülheim-Kärlich,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,13,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=38.74 | TZ=-1.28 | REF=2542807501 | VKG=94 | VKG_DL=94 | DEST=48607 Ochtrup | KOST=211FO998 | SACH=612100,10,38.74,DifferenzEnergiezuschlag,-1.28,2542807501,94,94,48607,Ochtrup,211FO998,612100,,,
Soll-Ist-Vergleich best. Beleg,14,wackler,wrong,DifferenzEnergiezuschlag,DifferenzTreibstof,DifferenzEnergiezuschlag,true,STAT=10 | TARIF=38.74 | TZ=-1.28 | REF=2542807472 | VKG=45 | VKG_DL=45 | DEST=29614 Soltau | KOST=211FO998 | SACH=612100,10,38.74,DifferenzEnergiezuschlag,-1.28,2542807472,45,45,29614,Soltau,211FO998,612100,,,
